;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
184;RL;0.080001;9.298838317394257;33.143;1.328;7.143;11.711;0.623;3.288;7.0;0.278;1.0;40.0;2.074;10.0;92;50
185;OR-Tools;0.226004;9.0904;38.667;1.515;9.333;1.633;0.371;1.966;36.0;0.97;8.0;40.0;2.085;13.0;92;50
186;RL;0.082442;11.005567610263824;36.286;1.572;7.143;5.529;0.581;2.193;26.0;0.69;4.0;40.0;2.307;10.0;93;50
187;OR-Tools;0.192038;11.598530400000001;36.286;1.657;8.143;2.984;0.577;1.069;32.0;0.887;7.0;40.0;2.434;10.0;93;50
188;RL;0.098002;11.82100522518158;36.25;1.478;6.25;7.555;0.518;1.982;18.0;0.534;2.0;40.0;2.077;9.0;94;50
189;OR-Tools;0.174002;12.179329899999999;36.25;1.522;7.25;4.432;0.514;0.886;28.0;0.91;6.0;40.0;2.379;9.0;94;50
190;RL;0.083265;9.893709778785706;37.167;1.649;8.333;5.492;0.481;1.506;26.0;1.039;6.0;40.0;2.11;10.0;95;50
191;OR-Tools;0.244034;9.2813386;37.167;1.547;9.333;1.722;0.485;2.338;35.0;0.665;6.0;39.0;2.109;13.0;95;50
192;RL;0.072734;11.18374490737915;36.143;1.598;7.143;5.669;0.561;1.215;24.0;0.896;6.0;40.0;2.254;9.0;96;50
193;OR-Tools;0.239005;11.275678;36.143;1.611;8.143;8.513;0.631;2.035;17.0;0.531;4.0;40.0;2.182;10.0;96;50
194;RL;0.075969;13.87813687324524;36.143;1.983;7.143;8.454;0.631;2.61;17.0;0.873;2.0;40.0;2.788;10.0;97;50
195;OR-Tools;0.17225;14.568302200000002;36.143;2.081;8.143;3.388;0.604;2.035;31.0;1.23;5.0;40.0;2.732;10.0;97;50
196;RL;0.077966;10.703760206699371;35.571;1.529;7.143;5.563;0.442;1.952;24.0;0.954;4.0;40.0;2.256;10.0;98;50
197;OR-Tools;0.283037;10.748849900000002;35.571;1.536;8.143;8.658;0.571;2.116;16.0;0.799;4.0;40.0;2.458;10.0;98;50
198;RL;0.075993;12.661063849925995;38.0;1.809;7.143;4.041;0.573;1.952;29.0;0.687;5.0;40.0;2.25;10.0;99;50
199;OR-Tools;0.217899;12.330800299999998;38.0;1.762;8.143;1.633;0.608;1.215;36.0;0.684;6.0;40.0;2.457;9.0;99;50
0;RL;0.038967;6.577458530664444;22.2;1.315;4.0;10.545;0.77;2.449;4.0;0.252;1.0;30.0;2.174;7.0;0;20
1;OR-Tools;0.036001;6.632486199999999;27.75;1.658;6.0;2.63;0.708;0.0;24.0;0.674;6.0;30.0;2.359;6.0;0;20
2;RL;0.035965;4.9264384508132935;25.25;1.232;5.0;4.646;0.259;1.414;19.0;0.884;3.0;30.0;1.484;6.0;1;20
3;OR-Tools;0.068993;4.9226966;25.25;1.231;6.0;4.573;0.217;1.414;20.0;1.014;5.0;30.0;1.528;8.0;1;20
4;RL;0.030964;6.052973389625549;24.5;1.513;5.0;7.141;0.314;1.414;14.0;1.242;3.0;30.0;1.965;6.0;2;20
5;OR-Tools;0.048001;6.013318;24.5;1.503;6.0;2.646;0.394;1.826;22.0;1.148;4.0;28.0;1.905;8.0;2;20
6;RL;0.028999;6.5849045515060425;24.333;2.195;6.667;5.686;0.38;1.528;18.0;1.765;5.0;29.0;2.486;8.0;3;20
7;OR-Tools;0.037999;6.6942015;24.333;2.231;7.667;6.028;0.712;1.528;18.0;1.473;6.0;30.0;2.887;9.0;3;20
8;RL;0.039;5.677999317646027;23.8;1.136;4.0;10.521;0.621;1.732;5.0;0.194;1.0;29.0;1.847;5.0;4;20
9;OR-Tools;0.048004;6.1704156;29.75;1.543;6.0;0.5;0.375;0.0;29.0;1.268;6.0;30.0;2.068;6.0;4;20
10;RL;0.033004;7.853345334529877;24.25;1.963;5.0;8.342;0.897;2.449;12.0;0.634;2.0;30.0;2.568;8.0;5;20
11;OR-Tools;0.054001;8.049213700000001;24.25;2.012;6.0;8.18;0.933;2.449;12.0;0.634;3.0;29.0;2.669;9.0;5;20
12;RL;0.030001;5.371864318847656;25.0;1.343;5.0;1.414;0.447;0.816;23.0;1.085;4.0;26.0;2.013;6.0;6;20
13;OR-Tools;0.051998;5.3528046;25.0;1.338;6.0;3.742;0.757;1.155;21.0;0.609;5.0;30.0;2.122;7.0;6;20
14;RL;0.033041;6.060550093650818;22.75;1.515;5.0;10.595;0.914;3.367;7.0;0.336;1.0;29.0;2.548;9.0;7;20
15;OR-Tools;0.038999;6.3239066;22.75;1.581;6.0;10.532;0.987;2.828;7.0;0.336;2.0;29.0;2.519;8.0;7;20
16;RL;0.041963;8.182555913925171;24.75;2.046;5.0;7.365;0.666;2.16;14.0;1.066;2.0;30.0;2.511;7.0;8;20
17;OR-Tools;0.047;7.6428337;24.75;1.911;6.0;5.965;0.483;1.414;16.0;1.357;4.0;29.0;2.49;7.0;8;20
18;RL;0.035961;6.103133022785187;22.75;1.526;5.0;13.2;0.698;2.828;3.0;0.568;1.0;30.0;2.232;7.0;9;20
19;OR-Tools;0.063999;5.9639743;22.75;1.491;6.0;13.841;0.887;2.944;2.0;0.297;2.0;30.0;2.439;9.0;9;20
20;RL;0.028001;5.272649168968201;24.75;1.318;5.0;7.089;0.257;2.582;15.0;0.972;2.0;30.0;1.592;8.0;10;20
21;OR-Tools;0.049608;5.1976906;24.75;1.299;6.0;7.089;0.25;2.582;15.0;0.972;3.0;30.0;1.58;9.0;10;20
22;RL;0.028006;6.260208487510681;21.0;1.565;5.0;11.343;0.681;2.708;4.0;0.566;1.0;27.0;2.041;7.0;11;20
23;OR-Tools;0.043001;5.7697442;28.0;1.923;7.667;2.0;0.187;1.155;26.0;1.709;7.0;30.0;2.054;9.0;11;20
24;RL;0.030964;7.117979466915131;19.0;1.424;4.0;7.842;0.618;2.236;9.0;0.619;1.0;25.0;1.917;7.0;12;20
25;OR-Tools;0.046;6.3004636;23.75;1.575;6.0;8.016;0.59;1.633;12.0;0.892;4.0;30.0;2.092;8.0;12;20
26;RL;0.032965;5.866878688335419;29.75;1.467;5.0;0.5;0.501;0.816;29.0;0.991;4.0;30.0;2.125;6.0;13;20
27;OR-Tools;0.046004;5.679192;23.8;1.136;5.0;8.672;0.894;2.0;9.0;0.079;2.0;29.0;2.291;7.0;13;20
28;RL;0.027966;5.782618999481201;23.25;1.446;5.0;7.32;0.719;2.449;13.0;0.523;2.0;29.0;2.278;7.0;14;20
29;OR-Tools;0.060995;5.7459803;23.25;1.436;6.0;7.32;0.705;2.449;13.0;0.523;3.0;29.0;2.242;8.0;14;20
30;RL;0.031965;5.87655508518219;27.75;1.469;5.0;1.5;0.896;0.816;26.0;0.566;4.0;29.0;2.699;6.0;15;20
31;OR-Tools;0.052995;5.9080896;27.75;1.477;6.0;2.062;0.884;0.816;26.0;0.566;5.0;30.0;2.686;7.0;15;20
32;RL;0.034;6.063884019851685;22.5;1.516;5.0;8.266;0.373;1.414;11.0;1.059;3.0;29.0;1.894;6.0;16;20
33;OR-Tools;0.025996;6.7023926;30.0;2.234;7.667;0.0;0.851;1.155;30.0;1.251;7.0;30.0;2.728;9.0;16;20
34;RL;0.029002;6.067096948623657;24.4;1.213;4.0;2.074;0.316;1.0;22.0;0.943;3.0;27.0;1.724;5.0;17;20
35;OR-Tools;0.057998;6.374484499999999;24.4;1.275;5.0;5.683;0.231;1.581;16.0;0.949;3.0;30.0;1.495;7.0;17;20
36;RL;0.037965;5.664004474878311;21.0;1.416;5.0;5.354;0.819;2.449;16.0;0.449;2.0;27.0;2.451;7.0;18;20
37;OR-Tools;0.058002;5.6328591999999995;28.0;1.878;7.667;1.732;0.664;0.577;27.0;1.124;7.0;30.0;2.378;8.0;18;20
38;RL;0.038992;5.388279855251312;21.5;1.347;5.0;6.758;0.857;2.708;13.0;0.585;3.0;29.0;2.564;9.0;19;20
39;OR-Tools;0.037037;5.890236;28.667;1.963;7.667;1.528;0.576;1.528;27.0;1.374;6.0;30.0;2.525;9.0;19;20
40;RL;0.028997;7.340265512466431;25.0;1.835;5.0;5.228;0.597;2.0;20.0;1.404;4.0;30.0;2.673;8.0;20;20
41;OR-Tools;0.051;6.8156922;25.0;1.704;6.0;6.88;0.843;2.16;15.0;0.678;4.0;30.0;2.729;9.0;20;20
42;RL;0.033963;5.919486045837402;25.5;1.48;5.0;7.0;0.41;1.155;15.0;1.057;4.0;29.0;2.042;6.0;21;20
43;OR-Tools;0.039997;5.8125841;25.5;1.453;6.0;8.347;0.339;1.826;13.0;0.988;4.0;30.0;1.721;8.0;21;20
44;RL;0.030962;5.66042959690094;27.5;1.415;5.0;3.0;0.565;1.633;24.0;0.845;3.0;30.0;2.189;7.0;22;20
45;OR-Tools;0.081003;5.6462944;27.5;1.412;6.0;3.0;0.565;1.633;24.0;0.845;4.0;30.0;2.189;8.0;22;20
46;RL;0.032001;6.543321311473846;24.25;1.636;5.0;10.178;0.661;2.0;9.0;0.779;2.0;30.0;2.331;6.0;23;20
47;OR-Tools;0.041989;6.408841499999999;24.25;1.602;6.0;10.21;0.853;2.708;9.0;0.426;2.0;30.0;2.244;8.0;23;20
48;RL;0.034963;5.83889627456665;23.0;1.46;5.0;7.874;0.773;2.582;12.0;0.564;2.0;30.0;2.255;8.0;24;20
49;OR-Tools;0.072998;5.7809612;23.0;1.445;6.0;8.718;0.778;2.944;12.0;0.564;3.0;30.0;2.245;9.0;24;20
50;RL;0.032964;5.981707870960236;24.0;1.495;5.0;8.679;0.897;2.944;11.0;0.69;2.0;29.0;2.779;9.0;25;20
51;OR-Tools;0.049042;5.5799354;24.0;1.395;6.0;5.657;0.534;1.826;16.0;0.819;4.0;28.0;1.982;8.0;25;20
52;RL;0.029964;5.720440000295639;24.75;1.43;5.0;6.702;0.958;2.16;16.0;0.266;2.0;30.0;2.316;7.0;26;20
53;OR-Tools;0.04;5.8989879;24.75;1.475;6.0;6.397;0.855;2.582;16.0;0.266;3.0;30.0;2.258;9.0;26;20
54;RL;0.039969;7.40030574798584;25.5;1.85;5.0;4.509;0.707;1.414;19.0;1.217;4.0;29.0;2.703;7.0;27;20
55;OR-Tools;0.047963;7.0635506999999995;25.5;1.766;6.0;5.686;0.795;1.826;17.0;0.827;4.0;29.0;2.693;8.0;27;20
56;RL;0.05297;7.055028915405273;25.5;1.764;5.0;6.351;0.781;1.633;16.0;0.637;3.0;29.0;2.378;7.0;28;20
57;OR-Tools;0.049002;7.329863900000001;25.5;1.832;6.0;8.347;1.017;2.449;13.0;0.429;3.0;30.0;2.818;9.0;28;20
58;RL;0.031999;6.1637396812438965;25.0;1.541;5.0;5.598;0.786;2.16;18.0;0.429;2.0;30.0;2.123;7.0;29;20
59;OR-Tools;0.046999;6.496228599999999;25.0;1.624;6.0;5.598;0.88;2.944;18.0;0.429;3.0;30.0;2.387;10.0;29;20
60;RL;0.035005;6.185078024864197;27.0;1.546;5.0;2.0;0.444;1.155;24.0;1.044;4.0;28.0;2.04;6.0;30;20
61;OR-Tools;0.045035;6.0415168999999995;27.0;1.51;6.0;4.082;0.49;0.816;21.0;0.958;5.0;30.0;2.04;7.0;30;20
62;RL;0.031965;5.1982951164245605;27.667;1.733;6.667;1.528;0.562;2.082;26.0;1.326;5.0;29.0;2.374;9.0;31;20
63;OR-Tools;0.041006;5.2886018;27.667;1.763;7.667;3.215;0.231;2.309;24.0;1.496;5.0;30.0;1.907;9.0;31;20
64;RL;0.029001;5.022276759147644;28.0;1.256;5.0;1.826;0.428;0.816;26.0;0.709;4.0;30.0;1.754;6.0;32;20
65;OR-Tools;0.042999;5.8472657;28.0;1.462;6.0;1.414;0.592;0.816;27.0;0.829;5.0;30.0;2.239;7.0;32;20
66;RL;0.036036;5.520183801651001;22.25;1.38;5.0;6.551;0.583;2.944;14.0;0.777;2.0;28.0;2.076;8.0;33;20
67;OR-Tools;0.045005;5.586494399999999;29.667;1.862;7.667;0.577;0.155;1.528;29.0;1.732;6.0;30.0;2.033;9.0;33;20
68;RL;0.027964;6.543166160583496;27.0;1.636;5.0;3.162;0.448;1.155;23.0;1.082;4.0;30.0;2.049;6.0;34;20
69;OR-Tools;0.054038;6.403497;27.0;1.601;6.0;3.559;0.334;0.0;22.0;1.286;6.0;30.0;1.994;6.0;34;20
70;RL;0.035997;6.427779734134674;24.2;1.286;4.0;8.526;0.609;1.732;9.0;0.528;1.0;29.0;1.879;5.0;35;20
71;OR-Tools;0.048998;6.387119200000001;24.2;1.277;5.0;8.585;0.63;1.732;9.0;0.287;2.0;30.0;1.797;6.0;35;20
72;RL;0.028001;5.2610883712768555;22.25;1.315;5.0;6.652;0.312;1.633;13.0;1.004;3.0;28.0;1.611;7.0;36;20
73;OR-Tools;0.036997;5.502667300000001;29.667;1.834;7.667;0.577;0.71;2.887;29.0;1.082;6.0;30.0;2.494;11.0;36;20
74;RL;0.036999;6.334789663553238;25.5;1.584;5.0;7.724;0.729;2.16;14.0;0.494;2.0;30.0;1.998;7.0;37;20
75;OR-Tools;0.044001;6.4194702;25.5;1.605;6.0;7.724;0.797;2.16;14.0;0.494;3.0;30.0;2.386;8.0;37;20
76;RL;0.035993;6.889504790306091;23.0;1.722;5.0;5.598;0.532;2.0;15.0;1.055;2.0;28.0;2.354;6.0;38;20
77;OR-Tools;0.046001;6.7849701;23.0;1.696;6.0;10.801;0.934;2.828;7.0;0.442;2.0;30.0;2.688;8.0;38;20
78;RL;0.034964;6.113551378250122;22.2;1.223;4.0;10.895;0.464;1.732;3.0;0.515;1.0;29.0;1.737;5.0;39;20
79;OR-Tools;0.055032;5.968144;27.75;1.492;6.0;2.217;0.22;0.816;25.0;1.229;5.0;30.0;1.737;7.0;39;20
80;RL;0.033001;5.400729775428772;26.0;1.8;6.667;2.0;0.533;0.577;24.0;1.338;6.0;28.0;2.384;7.0;40;20
81;OR-Tools;0.038993;5.3035879;26.0;1.768;7.667;2.0;0.495;0.577;24.0;1.338;7.0;28.0;2.31;8.0;40;20
82;RL;0.028999;5.400750309228897;23.75;1.35;5.0;8.617;0.711;2.16;11.0;0.375;2.0;29.0;1.947;7.0;41;20
83;OR-Tools;0.056001;5.5365441;23.75;1.384;6.0;8.958;0.836;2.449;11.0;0.375;3.0;30.0;2.407;9.0;41;20
84;RL;0.032966;8.180888414382935;21.5;2.045;5.0;10.536;0.793;2.828;6.0;0.991;1.0;29.0;2.848;7.0;42;20
85;OR-Tools;0.051004;7.4673883;28.667;2.489;7.667;0.577;0.824;0.577;28.0;1.584;7.0;29.0;3.196;8.0;42;20
86;RL;0.032998;5.2977412939071655;24.0;1.324;5.0;3.162;0.265;0.816;20.0;1.144;4.0;27.0;1.717;6.0;43;20
87;OR-Tools;0.045003;5.2977403;24.0;1.324;6.0;3.162;0.265;0.816;20.0;1.144;5.0;27.0;1.717;7.0;43;20
88;RL;0.037973;6.032846927642822;26.5;1.508;5.0;5.745;0.424;1.414;18.0;1.015;4.0;30.0;2.02;7.0;44;20
89;OR-Tools;0.045016;6.6350048;26.5;1.659;6.0;3.512;0.614;2.16;23.0;0.989;4.0;30.0;2.32;9.0;44;20
90;RL;0.027963;5.51747190952301;25.25;1.379;5.0;3.862;0.153;0.0;21.0;1.236;5.0;29.0;1.595;5.0;45;20
91;OR-Tools;0.037964;5.637729200000001;25.25;1.409;6.0;2.63;0.448;1.414;23.0;0.868;5.0;28.0;1.911;8.0;45;20
92;RL;0.034999;8.529787302017212;25.6;1.706;4.0;4.827;0.421;0.707;18.0;1.178;3.0;30.0;2.239;5.0;46;20
93;OR-Tools;0.050034;8.1336804;25.6;1.627;5.0;4.561;0.644;1.414;18.0;0.827;3.0;30.0;2.287;7.0;46;20
94;RL;0.036994;7.890097081661224;21.8;1.578;4.0;9.935;0.654;2.0;7.0;0.772;1.0;29.0;2.39;6.0;47;20
95;OR-Tools;0.042999;7.2949482;27.25;1.824;6.0;4.856;0.342;1.414;20.0;1.531;5.0;30.0;2.218;8.0;47;20
96;RL;0.034963;6.011094927787781;26.75;1.503;5.0;2.5;0.421;2.16;24.0;0.89;3.0;30.0;1.846;8.0;48;20
97;OR-Tools;0.056003;6.2729289999999995;26.75;1.568;6.0;0.5;0.502;1.633;26.0;0.89;4.0;27.0;2.103;8.0;48;20
98;RL;0.035635;6.519670605659485;26.667;2.173;6.667;3.215;0.57;2.309;23.0;1.557;4.0;29.0;2.681;8.0;49;20
99;OR-Tools;0.028004;6.4977094;26.667;2.166;7.667;3.512;0.689;2.082;23.0;1.547;6.0;30.0;2.908;10.0;49;20
100;RL;0.035;5.051466107368469;21.0;1.263;5.0;7.165;0.52;2.449;11.0;0.605;2.0;28.0;1.704;7.0;50;20
101;OR-Tools;0.044999;4.9208488;28.0;1.64;7.667;1.0;0.263;2.309;27.0;1.362;5.0;29.0;1.886;9.0;50;20
102;RL;0.035987;6.099478840827942;23.5;1.525;5.0;6.028;0.577;1.633;15.0;1.01;3.0;29.0;2.175;7.0;51;20
103;OR-Tools;0.05504;6.0319743;23.5;1.508;6.0;6.137;0.474;1.155;15.0;0.981;5.0;28.0;1.958;7.0;51;20
104;RL;0.031039;6.644014626741409;22.25;1.661;5.0;14.198;0.813;3.367;1.0;0.481;1.0;30.0;2.261;9.0;52;20
105;OR-Tools;0.042999;6.6281868;29.667;2.209;7.667;0.577;0.229;0.577;29.0;1.946;7.0;30.0;2.361;8.0;52;20
106;RL;0.039952;7.707777559757233;23.75;1.927;5.0;9.912;0.761;2.708;9.0;0.82;1.0;30.0;2.525;7.0;53;20
107;OR-Tools;0.054;7.5763460999999985;23.75;1.894;6.0;8.016;0.819;2.582;12.0;1.057;3.0;30.0;2.966;9.0;53;20
108;RL;0.028565;7.756522178649902;26.0;1.939;5.0;4.83;0.392;1.414;19.0;1.582;3.0;30.0;2.441;6.0;54;20
109;OR-Tools;0.051999;7.4977507;26.0;1.874;6.0;5.477;0.655;1.414;18.0;1.121;4.0;30.0;2.693;7.0;54;20
110;RL;0.035004;5.891517162322998;22.25;1.473;5.0;8.342;0.642;2.582;12.0;0.538;2.0;30.0;1.931;8.0;55;20
111;OR-Tools;0.052007;6.0574349000000005;29.667;2.019;7.667;0.577;0.358;2.082;29.0;1.697;6.0;30.0;2.405;10.0;55;20
112;RL;0.032959;7.6447975635528564;23.5;1.911;5.0;8.426;0.579;2.449;11.0;1.361;2.0;29.0;2.567;7.0;56;20
113;OR-Tools;0.046033;7.0462505;23.5;1.762;6.0;13.0;0.95;3.162;4.0;0.552;2.0;30.0;2.808;9.0;56;20
114;RL;0.029038;7.323065161705017;23.5;1.831;5.0;9.747;0.665;2.0;9.0;1.022;2.0;30.0;2.427;6.0;57;20
115;OR-Tools;0.039002;7.4819132;23.5;1.87;6.0;9.11;0.754;2.16;10.0;0.825;3.0;29.0;2.577;8.0;57;20
116;RL;0.036965;6.8073223531246185;22.0;1.361;4.0;9.747;0.686;1.732;5.0;0.224;1.0;29.0;1.928;5.0;58;20
117;OR-Tools;0.041999;6.8337234;27.5;1.708;6.0;3.109;0.738;1.414;23.0;1.044;4.0;30.0;2.422;7.0;58;20
118;RL;0.033966;6.716218650341034;25.25;1.679;5.0;2.5;0.668;1.826;22.0;0.869;3.0;28.0;2.393;7.0;59;20
119;OR-Tools;0.067;6.452343800000001;25.25;1.613;6.0;6.898;0.843;2.16;15.0;0.47;3.0;30.0;2.269;8.0;59;20
120;RL;0.035039;6.210195183753967;24.0;1.553;5.0;8.679;0.717;2.449;11.0;0.74;2.0;29.0;2.345;8.0;60;20
121;OR-Tools;0.051998;6.2024052;24.0;1.551;6.0;5.715;0.854;1.155;17.0;0.655;5.0;30.0;2.529;7.0;60;20
122;RL;0.027002;7.561287045478821;28.75;1.89;5.0;1.5;0.426;1.155;27.0;1.469;4.0;30.0;2.331;6.0;61;20
123;OR-Tools;0.036;7.362474799999999;28.75;1.841;6.0;1.893;0.542;1.414;26.0;1.17;4.0;30.0;2.357;7.0;61;20
124;RL;0.031997;5.503146529197693;25.667;1.834;6.667;3.786;0.702;1.528;23.0;1.07;5.0;30.0;2.452;8.0;62;20
125;OR-Tools;0.053003;5.6092316;25.667;1.87;7.667;3.055;0.739;2.082;23.0;1.07;6.0;29.0;2.528;10.0;62;20
126;RL;0.034959;6.159874649718404;21.25;1.54;5.0;13.672;1.024;2.708;1.0;0.027;1.0;30.0;2.232;7.0;63;20
127;OR-Tools;0.043999;6.1087581;28.333;2.036;7.667;2.887;0.204;0.577;25.0;1.811;7.0;30.0;2.208;8.0;63;20
128;RL;0.035037;7.249174952507019;27.75;1.812;5.0;1.708;0.688;1.826;26.0;1.123;3.0;30.0;2.758;7.0;64;20
129;OR-Tools;0.073999;7.0827976999999995;27.75;1.771;6.0;0.957;0.598;1.414;27.0;1.374;5.0;29.0;2.655;8.0;64;20
130;RL;0.035;6.6435182094573975;24.5;1.661;5.0;6.455;0.503;1.414;15.0;1.279;4.0;29.0;2.379;7.0;65;20
131;OR-Tools;0.042002;6.3680474;24.5;1.592;6.0;9.713;0.874;1.414;10.0;0.509;4.0;30.0;2.586;7.0;65;20
132;RL;0.030963;4.849304676055908;27.0;1.616;6.667;2.646;0.771;3.215;24.0;0.738;3.0;29.0;2.181;9.0;66;20
133;OR-Tools;0.051999;4.8455057;27.0;1.615;7.667;4.359;0.613;0.577;22.0;1.056;7.0;30.0;2.27;8.0;66;20
134;RL;0.031;8.639719128608704;23.0;2.16;5.0;9.416;0.474;2.0;9.0;1.647;2.0;29.0;2.669;6.0;67;20
135;OR-Tools;0.060999;7.064183700000001;23.0;1.766;6.0;10.924;0.957;2.708;7.0;0.379;2.0;30.0;2.481;8.0;67;20
136;RL;0.030999;8.376593351364136;27.0;2.094;5.0;3.464;0.511;1.155;22.0;1.642;4.0;30.0;2.826;6.0;68;20
137;OR-Tools;0.036002;7.9771994;27.0;1.994;6.0;4.082;0.775;1.414;21.0;1.142;4.0;30.0;2.92;7.0;68;20
138;RL;0.031;5.360290825366974;24.0;1.34;5.0;6.325;0.816;2.449;16.0;0.275;2.0;30.0;2.252;8.0;69;20
139;OR-Tools;0.044997;5.7673222;24.0;1.442;6.0;10.033;0.945;3.162;9.0;0.211;2.0;30.0;2.448;9.0;69;20
140;RL;0.033002;4.907056391239166;27.75;1.227;5.0;2.63;0.499;0.816;25.0;0.828;4.0;30.0;1.889;6.0;70;20
141;OR-Tools;0.057087;4.7667326999999995;27.75;1.192;6.0;2.062;0.347;0.816;26.0;0.842;5.0;30.0;1.512;7.0;70;20
142;RL;0.034;5.452390283346176;23.25;1.363;5.0;8.846;0.768;2.16;10.0;0.421;2.0;28.0;2.303;7.0;71;20
143;OR-Tools;0.03903;5.6852770999999995;23.25;1.421;6.0;8.221;0.696;2.16;11.0;0.601;3.0;28.0;2.303;8.0;71;20
144;RL;0.035214;5.462011337280273;23.0;1.366;5.0;8.907;0.499;2.16;10.0;0.918;3.0;30.0;1.996;8.0;72;20
145;OR-Tools;0.049999;5.2634022;23.0;1.316;6.0;10.392;0.699;3.162;8.0;0.393;2.0;30.0;1.937;9.0;72;20
146;RL;0.031057;6.718906402587891;25.0;1.68;5.0;6.055;0.929;2.582;16.0;0.664;2.0;29.0;2.825;8.0;73;20
147;OR-Tools;0.042022;6.8964361;25.0;1.724;6.0;6.218;0.734;2.0;16.0;0.664;3.0;30.0;2.357;7.0;73;20
148;RL;0.037035;6.571529150009155;22.2;1.314;4.0;7.014;0.335;1.414;12.0;0.734;2.0;28.0;1.603;5.0;74;20
149;OR-Tools;0.032004;5.8526184;27.75;1.463;6.0;0.5;0.395;0.816;27.0;0.922;5.0;28.0;1.872;7.0;74;20
150;RL;0.03397;5.942337468266487;21.25;1.486;5.0;13.574;0.93;2.708;1.0;0.134;1.0;29.0;2.203;7.0;75;20
151;OR-Tools;0.060999;6.4795519;28.333;2.16;7.667;1.528;0.505;0.577;27.0;1.641;7.0;30.0;2.649;8.0;75;20
152;RL;0.027002;6.919921398162842;25.75;1.73;5.0;6.551;0.41;1.414;16.0;1.128;3.0;30.0;2.022;6.0;76;20
153;OR-Tools;0.053038;7.0656675;25.75;1.766;6.0;4.349;0.668;0.816;22.0;1.128;5.0;30.0;2.471;7.0;76;20
154;RL;0.03;7.273384749889374;23.5;1.818;5.0;11.705;0.808;2.944;6.0;0.63;1.0;30.0;2.435;8.0;77;20
155;OR-Tools;0.041001;7.5925614;23.5;1.898;6.0;9.747;0.813;2.16;9.0;0.685;3.0;30.0;2.374;8.0;77;20
156;RL;0.039999;6.167108833789825;25.25;1.542;5.0;9.5;0.515;1.414;11.0;0.911;3.0;30.0;2.172;6.0;78;20
157;OR-Tools;0.031;7.178247900000001;25.25;1.795;6.0;8.846;0.681;1.633;12.0;1.032;4.0;30.0;2.446;8.0;78;20
158;RL;0.027002;5.208633542060852;25.667;1.736;6.667;5.859;1.136;3.215;19.0;0.483;3.0;30.0;2.698;9.0;79;20
159;OR-Tools;0.039001;5.3038153;25.667;1.768;7.667;5.132;1.15;2.517;20.0;0.537;5.0;30.0;2.813;10.0;79;20
160;RL;0.03296;6.258713126182556;28.0;1.565;5.0;1.414;0.329;0.816;27.0;1.15;4.0;30.0;1.886;6.0;80;20
161;OR-Tools;0.048999;6.158700799999999;28.0;1.54;6.0;2.828;0.225;0.816;24.0;1.323;5.0;30.0;1.855;7.0;80;20
162;RL;0.038516;5.731706976890564;22.25;1.433;5.0;10.966;0.688;2.944;6.0;0.47;1.0;30.0;1.987;8.0;81;20
163;OR-Tools;0.035002;6.8082573;29.667;2.269;7.667;0.577;0.655;1.528;29.0;1.603;6.0;30.0;2.914;9.0;81;20
164;RL;0.029963;4.915723353624344;20.5;1.229;5.0;11.21;0.788;3.742;4.0;0.146;1.0;28.0;1.966;10.0;82;20
165;OR-Tools;0.064;5.4527475;27.333;1.818;7.667;3.055;0.545;2.082;24.0;1.407;6.0;30.0;2.436;10.0;82;20
166;RL;0.038969;5.674408674240112;26.0;1.419;5.0;6.683;0.739;1.826;16.0;0.478;3.0;30.0;2.233;7.0;83;20
167;OR-Tools;0.051996;6.0645228;26.0;1.516;6.0;6.683;0.734;1.414;16.0;0.478;4.0;30.0;2.209;7.0;83;20
168;RL;0.034965;5.295149028301239;25.75;1.324;5.0;4.787;0.396;0.816;19.0;0.771;4.0;30.0;1.667;6.0;84;20
169;OR-Tools;0.051997;5.388170700000001;25.75;1.347;6.0;6.131;0.509;1.414;17.0;0.59;4.0;30.0;1.661;7.0;84;20
170;RL;0.038991;6.7935978174209595;27.5;1.698;5.0;2.38;0.137;0.816;25.0;1.584;4.0;30.0;1.889;6.0;85;20
171;OR-Tools;0.043997;6.5958253;27.5;1.649;6.0;1.732;0.184;0.816;26.0;1.43;5.0;29.0;1.878;7.0;85;20
172;RL;0.037002;6.8161903619766235;28.0;2.272;6.667;1.0;0.407;1.155;27.0;1.82;6.0;29.0;2.608;8.0;86;20
173;OR-Tools;0.060523;6.733987;28.0;2.245;7.667;3.464;0.722;2.517;24.0;1.412;5.0;30.0;2.695;10.0;86;20
174;RL;0.033973;5.808566570281982;28.667;1.936;6.667;0.577;0.095;1.155;28.0;1.826;6.0;29.0;1.994;8.0;87;20
175;OR-Tools;0.042998;5.8988383;28.667;1.966;7.667;0.577;0.271;2.082;28.0;1.795;6.0;29.0;2.279;10.0;87;20
176;RL;0.035551;5.436169803142548;23.25;1.359;5.0;5.123;0.471;2.449;18.0;0.787;2.0;29.0;1.768;7.0;88;20
177;OR-Tools;0.094999;5.0122946;23.25;1.253;6.0;9.743;0.75;2.944;9.0;0.334;2.0;30.0;2.171;9.0;88;20
178;RL;0.028995;5.871776789426804;25.5;1.468;5.0;7.047;0.892;2.944;15.0;0.218;2.0;30.0;2.271;9.0;89;20
