;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
72;RL;0.156;18.46606333553791;45.091;1.679;9.091;12.365;0.724;3.477;8.0;0.198;1.0;50.0;2.795;13.0;36;100
73;OR-Tools;0.518037;19.3335373;49.6;1.933;11.0;1.265;0.626;1.247;46.0;1.095;9.0;50.0;3.053;13.0;36;100
74;RL;0.153742;14.430300921201706;45.0;1.443;10.0;9.262;0.494;3.399;20.0;0.323;3.0;50.0;1.932;15.0;37;100
75;OR-Tools;0.530034;14.285554800000002;45.0;1.429;11.0;10.077;0.582;3.055;20.0;0.323;4.0;50.0;2.214;14.0;37;100
76;RL;0.144967;17.26610839366913;43.545;1.57;9.091;9.802;0.593;2.212;22.0;0.51;4.0;50.0;2.615;12.0;38;100
77;OR-Tools;0.578177;17.5532874;47.9;1.755;11.0;5.28;0.636;1.491;33.0;0.659;8.0;50.0;2.886;13.0;38;100
78;RL;0.143992;15.904358983039856;47.545;1.446;9.091;4.967;0.389;2.166;33.0;0.887;6.0;50.0;2.091;12.0;39;100
79;OR-Tools;0.548034;16.4887288;47.545;1.499;10.091;6.235;0.488;2.166;29.0;0.527;6.0;50.0;2.187;15.0;39;100
80;RL;0.153968;16.414501011371613;47.25;1.368;8.333;7.665;0.53;1.875;23.0;0.416;4.0;50.0;2.232;11.0;40;100
81;OR-Tools;0.635817;16.760087300000002;47.25;1.397;9.333;6.454;0.498;1.875;27.0;0.598;5.0;50.0;2.249;12.0;40;100
82;RL;0.151033;15.751320600509644;45.273;1.432;9.091;6.665;0.46;2.982;28.0;0.673;4.0;50.0;2.185;15.0;41;100
83;OR-Tools;0.547991;17.0699989;49.8;1.707;11.0;0.632;0.584;1.155;48.0;1.104;10.0;50.0;3.151;14.0;41;100
84;RL;0.160477;20.395790472626686;44.818;1.854;9.091;13.984;0.706;3.048;3.0;0.171;1.0;50.0;2.851;12.0;42;100
